0153	パンチ	docomo/153.gif	F9A2	63906		E6FD	#ff0000	
0154	爆弾	docomo/154.gif	F9A3	63907		E6FE	#000000	
0155	ムード	docomo/155.gif	F9A4	63908		E6FF	#ff0000	
0156	バッド（下向き矢印）	docomo/156.gif	F9A5	63909		E700	#0000ff	
0157	眠い(睡眠)	docomo/157.gif	F9A6	63910		E701	#0000ff	
0158	exclamation	docomo/158.gif	F9A7	63911		E702	#ff0000	
0159	exclamation&question	docomo/159.gif	F9A8	63912		E703	#ff00ff	
0160	exclamation×2	docomo/160.gif	F9A9	63913		E704	#ff0000	
0161	どんっ（衝撃）	docomo/161.gif	F9AA	63914		E705	#ff0000	
0162	あせあせ（飛び散る汗）	docomo/162.gif	F9AB	63915		E706	#000000	
0163	たらーっ（汗）	docomo/163.gif	F9AC	63916		E707	#000000	
0164	ダッシュ（走り出すさま）	docomo/164.gif	F9AD	63917		E708	#000000	
0165	ー（長音記号１）	docomo/165.gif	F9AE	63918		E709	#000000	
0166	ー（長音記号２）	docomo/166.gif	F9AF	63919		E70A	#000000	
0167	カチンコ	docomo/167.gif	F950	63824		E6AC	#000000	
0168	ふくろ	docomo/168.gif	F951	63825		E6AD	#000000	
0169	ペン	docomo/169.gif	F952	63826		E6AE	#000000	
0170	人影	docomo/170.gif	F955	63829		E6B1	#000000	
0171	いす	docomo/171.gif	F956	63830		E6B2	#000000	
0172	夜	docomo/172.gif	F957	63831		E6B3	#000000	
0173	soon	docomo/173.gif	F95B	63835		E6B7	#000000	
0174	on	docomo/174.gif	F95C	63836		E6B8	#000000	
0175	end	docomo/175.gif	F95D	63837		E6B9	#000000	
0176	時計	docomo/176.gif	F95E	63838		E6BA	#000000	
0177	ぴあのぴ	docomo/177.gif	F94A	63818		E6A6	#0000ff	
0178	ぴあのあ	docomo/178.gif	F94B	63819		E6A7	#0000ff	
0179	チケぴ	docomo/179.gif	F94C	63820		E6A8	#000000	
0180	チケぴ	docomo/180.gif	F94D	63821		E6A9	#000000	
0181	先行TEL	docomo/181.gif	F94E	63822		E6AA	#000000	
0182	Ｐコード	docomo/182.gif	F94F	63823		E6AB	#000000	
0183	映画	docomo/183.gif	F953	63827		E6AF	#000000	
0184	ぴあのぴ	docomo/184.gif	F954	63828		E6B0	#000000	
0185	マルぴ	docomo/185.gif	F958	63832		E6B4	#000000	
0186	四角ぴ	docomo/186.gif	F959	63833		E6B5	#000000	
0187	チェック	docomo/187.gif	F95A	63834		E6B6	#000000	
0188	Ｆ	docomo/188.gif	F95F	63839		E6BB	#ff0000	
0189	Ｄ	docomo/189.gif	F960	63840		E6BC	#ff0000	
0190	Ｓ	docomo/190.gif	F961	63841		E6BD	#ff0000	
0191	Ｃ	docomo/191.gif	F962	63842		E6BE	#ff0000	
0192	Ｒ	docomo/192.gif	F963	63843		E6BF	#ff0000	
0193	白黒四角	docomo/193.gif	F964	63844		E6C0	#000000	
